mantle.ledger.account.GlAccount,seed
glAccountId,accountName,glAccountClassEnumId
2901,递延所得税负债,THIRD_PARTY_HOLDINGS
3001,清算资金往来,NON_CASH_EXPENSE
3002,货币兑换,NON_CASH_EXPENSE
3101,衍生工具,NON_CASH_EXPENSE
3201,套期工具,NON_CASH_EXPENSE
3202,被套期项目,NON_CASH_EXPENSE
4001,实收资本,OWNERS_EQUITY
4002,资本公积,OWNERS_EQUITY
4101,盈余公积,OWNERS_EQUITY
4102,一般风险准备,OWNERS_EQUITY
4103,本年利润,OWNERS_EQUITY
4104,利润分配,OWNERS_EQUITY
4201,库存股,OWNERS_EQUITY
5001,生产成本,COST_GOODS_SOLD
5101,制造费用,COST_GOODS_SOLD
5201,劳务成本,COST_GOODS_SOLD
5301,研发支出,COST_GOODS_SOLD
5401,工程施工,COST_GOODS_SOLD
5402,工程结算,COST_GOODS_SOLD
5403,机械作业,COST_GOODS_SOLD
6001,主营业务收入,CASH_INCOME
6011,利息收入,CASH_INCOME
6021,手续费及佣金收入,CASH_INCOME
6031,保费收入,CASH_INCOME
6041,租赁收入,CASH_INCOME
6051,其他业务收入,CASH_INCOME
6061,汇兑损益,CASH_INCOME
6101,公允价值变动损益,CASH_INCOME
6111,投资收益,CASH_INCOME
6201,摊回保险责任准备金,PREPAID_EXPENSE
6202,摊回赔付支出,PREPAID_EXPENSE
6203,摊回分保费用,PREPAID_EXPENSE
6301,营业外收入,PREPAID_EXPENSE
6401,主营业务成本,PREPAID_EXPENSE
6402,其他业务成本,PREPAID_EXPENSE
6403,税金及附加,PREPAID_EXPENSE
6411,利息支出,PREPAID_EXPENSE
6421,手续费及佣金支出,PREPAID_EXPENSE
6501,提取未到期责任准备金,PREPAID_EXPENSE
6502,提取保险责任准备金,PREPAID_EXPENSE
6511,赔付支出,PREPAID_EXPENSE
6521,保户红利支出,PREPAID_EXPENSE
6531,退保金,PREPAID_EXPENSE
6541,分出保费,PREPAID_EXPENSE
6542,分保费用,PREPAID_EXPENSE
6601,销售费用,PREPAID_EXPENSE
6602,管理费用,PREPAID_EXPENSE
6603,财务费用,PREPAID_EXPENSE
6604,勘探费用,PREPAID_EXPENSE
6701,资产减值损失,PREPAID_EXPENSE
6711,营业外支出,PREPAID_EXPENSE
6801,所得税费用,PREPAID_EXPENSE
6901,以前年度损益调整,PREPAID_EXPENSE
